NEIGHBORS,ACCURACY
1,44.258
2,49.776
3,49.479
4,50.928
5,51.037
6,51.13
7,51.517
8,51.619
9,51.685
10,52.023
11,51.96
12,52.069
13,52.217
14,51.936
15,51.967
16,52.252
17,52.347
18,52.292
19,52.157
20,52.153
21,52.105
22,52.459
23,52.202
24,52.045
25,52.294
26,52.147
27,52.375
28,52.36
29,52.393
30,52.173
31,52.227
32,52.329
33,52.28
34,52.468
35,52.602
36,52.227
37,52.208
38,52.412
39,52.222
40,52.309
41,52.297
42,52.515
43,52.177
44,52.267
45,52.126
46,52.173
47,52.284
48,52.145
49,52.267
50,52.305
51,52.289
52,52.279
53,52.225
54,52.445
55,52.038
56,52.195
57,52.084
58,51.967
59,51.912
60,52.191
61,52.287
62,52.2
63,52.022
64,51.997
65,52.204
66,52.021
67,52.323
68,51.97
69,52.098
70,52.125
71,51.941
72,52.127
73,51.848
74,51.974
75,51.926
76,52.048
77,51.856
78,51.761
79,51.766
80,51.668
81,51.827
82,51.712
83,52.061
84,52.067
85,51.897
86,51.99
87,52.039
88,51.903
89,51.836
90,51.98
91,51.612
92,51.898
93,51.794
94,51.58
95,51.758
96,51.901
97,51.802
98,51.883
99,52.087
100,51.9
101,51.841
102,51.853
103,51.851
104,51.695
105,51.833
106,51.799
107,51.819
108,51.797
109,51.713
110,51.685
111,51.593
112,51.626
113,51.594
114,51.809
115,51.828
116,51.705
117,51.53
118,51.664
119,51.845
120,51.747
121,51.601
122,51.661
123,51.779
124,51.601
125,51.682
126,51.441
127,51.464
128,51.671
129,51.616
130,51.767
131,51.563
132,51.592
133,51.702
134,51.533
135,51.7
136,51.373
137,51.649
138,51.381
139,51.606
140,51.666
141,51.638
142,51.613
143,51.541
144,51.645
145,51.549
146,51.561
147,51.616
148,51.514
149,51.419
150,51.724
151,51.724
152,51.478
153,51.389
154,51.633
155,51.341
156,51.493
157,51.6
158,51.668
159,51.496
160,51.407
161,51.652
162,51.578
163,51.57
164,51.605
165,51.345
166,51.241
167,51.691
168,51.489
169,51.43
170,51.539
171,51.31
172,51.489
173,51.676
174,51.456
175,51.353
176,51.308
177,51.212
178,51.258
179,51.519
180,51.457
181,51.239
182,51.461
183,51.546
184,51.374
185,51.621
186,51.256
187,51.454
188,51.313
189,51.292
190,51.419
191,51.293
192,51.631
193,51.447
194,51.352
195,51.119
196,51.655
197,51.245
198,51.218
199,51.242
200,51.367
201,51.297
202,51.237
203,51.19
204,51.438
205,51.268
206,51.27
207,51.532
208,51.256
209,51.184
210,51.543
211,51.35
212,51.318
213,51.497
214,51.213
215,51.287
216,51.311
217,51.014
218,51.259
219,51.207
220,51.274
221,51.376
222,51.164
223,51.177
224,51.229
225,51.533
226,51.144
227,51.302
228,50.996
229,51.063
230,51.255
231,51.019
232,51.197
233,51.287
234,51.386
235,51.167
236,51.004
237,51.162
238,51.208
239,51.243
240,51.135
241,51.294
242,51.315
243,51.318
244,51.117
245,51.135
246,51.168
247,51.186
248,51.411
249,51.209
250,51.019
251,51.034
252,50.763
253,51.107
254,51.068
255,50.974
256,51.59
257,51.088
258,51.224
259,51.021
260,51.272
261,51.119
262,51.227
263,51.346
264,51.217
265,50.961
266,51.087
267,51.154
268,50.959
269,51.009
270,51.09
271,51.112
272,51.313
273,51.197
274,50.891
275,51.119
276,50.902
277,51.031
278,50.906
279,51.045
280,51.198
281,51.231
282,50.936
283,51.09
284,51.142
285,51.023
286,50.686
287,51.113
288,51.041
289,51.102
290,51.117
291,51.06
292,50.932
293,50.948
294,51.1
295,51.043
296,50.972
297,50.88
298,50.992
299,51.172
300,51.115
301,51.048
302,50.994
303,50.993
304,51.121
305,51.114
306,50.929
307,51.052
308,51.136
309,50.744
310,50.873
311,51.024
312,51.102
313,50.835
314,50.855
315,50.991
316,50.955
317,51.105
318,50.947
319,50.988
320,50.86
321,50.739
322,51.109
323,51.139
324,50.713
325,51.077
326,50.782
327,50.932
328,50.853
329,50.869
330,51.035
331,50.998
332,50.929
333,51.092
334,50.927
335,50.908
336,51.032
337,50.944
338,51.004
339,50.901
340,51.06
341,50.984
342,51.133
343,50.883
344,51.037
345,50.705
346,50.962
347,50.771
348,50.914
349,50.994
350,50.931
351,51.11
352,50.978
353,51.117
354,50.831
355,51.092
356,50.904
357,50.779
358,51.052
359,50.942
360,50.796
361,50.999
362,51.148
363,50.832
364,50.799
365,50.802
366,50.629
367,50.861
368,50.696
369,50.796
370,51.015
371,50.896
372,50.901
373,50.727
374,50.906
375,50.789
376,50.73
377,50.84
378,50.921
379,50.786
380,50.733
381,50.928
382,51.024
383,50.859
384,50.698
385,50.66
386,50.706
387,50.793
388,50.777
389,50.613
390,50.673
391,50.724
392,50.988
393,50.979
394,50.828
395,50.627
396,50.756
397,50.832
398,50.823
399,50.538
400,50.794
401,50.608
402,50.784
403,50.912
404,50.624
405,50.745
406,50.653
407,50.95
408,50.605
409,50.971
410,50.91
411,50.407
412,50.817
413,50.683
414,50.748
415,50.721
416,50.928
417,50.938
418,50.735
419,50.582
420,50.776
421,50.662
422,50.784
423,50.543
424,50.821
425,50.654
426,50.96
427,50.814
428,50.851
429,50.922
430,50.788
431,50.777
432,50.704
433,50.69
434,50.699
435,50.871
436,50.765
437,50.778
438,50.735
439,50.772
440,50.871
441,50.587
442,50.838
443,50.727
444,50.899
445,50.95
446,50.987
447,50.689
448,50.648
449,50.925
450,50.593
451,50.751
452,50.846
453,50.959
454,50.804
455,50.535
456,50.724
457,50.846
458,50.913
459,50.722
460,50.837
461,50.666
462,50.819
463,50.643
464,50.59
465,50.418
466,50.617
467,50.444
468,50.668
469,50.579
470,50.948
471,50.613
472,50.612
473,50.718
474,50.86
475,50.629
476,50.826
477,50.529
478,50.598
479,50.821
480,50.83
481,50.858
482,50.902
483,50.507
484,50.752
485,50.659
486,50.684
487,50.628
488,50.927
489,50.5
490,50.561
491,50.851
492,50.658
493,50.528
494,50.848
495,50.685
496,50.704
497,50.677
498,50.67
499,50.606
500,50.979
501,50.573
502,50.715
503,50.629
504,50.698
505,50.74
506,50.643
507,50.738
508,50.829
509,50.562
510,51.01
511,50.71
512,50.35
513,50.493
514,50.864
515,50.641
516,50.557
517,50.798
518,50.641
519,50.617
520,50.593
521,50.557
522,50.661
523,50.805
524,51.046
525,50.752
526,50.884
527,50.609
528,50.815
529,50.716
530,50.778
531,50.851
532,50.585
533,50.719
534,50.781
535,50.672
536,50.803
537,50.605
538,50.835
539,50.509
540,50.685
541,50.604
542,50.573
543,50.737
544,50.451
545,50.989
546,50.824
547,50.674
548,50.502
549,50.756
550,50.773
551,50.461
552,50.579
553,50.713
554,50.743
555,50.904
556,50.708
557,50.704
558,50.464
559,50.623
560,50.604
561,50.34
562,50.472
563,50.661
564,50.601
565,50.626
566,50.627
567,50.533
568,50.444
569,50.468
570,50.364
571,50.718
572,50.666
573,50.487
574,50.405
575,50.537
576,50.661
577,50.539
578,50.567
579,50.495
580,50.759
581,50.713
582,50.648
583,50.61
584,50.616
585,50.597
586,50.478
587,50.797
588,50.572
589,50.698
590,50.623
591,50.553
592,50.446
593,50.455
594,50.633
595,50.77
596,50.751
597,50.484
598,50.444
599,50.609
600,50.696
601,50.688
602,50.467
603,50.53
604,50.468
605,50.38
606,50.54
607,50.581
608,50.596
609,50.496
610,50.667
611,50.26
612,50.48
613,50.538
614,50.635
615,50.537
616,50.549
617,50.543
618,50.641
619,50.492
620,50.359
621,50.448
622,50.254
623,50.516
624,50.514
625,50.718
626,50.325
627,50.578
628,50.52
629,50.479
630,50.554
631,50.491
632,50.768
633,50.68
634,50.469
635,50.784
636,50.495
637,50.685
638,50.463
639,50.616
640,50.426
641,50.639
642,50.4
643,50.555
644,50.559
645,50.597
646,50.588
647,50.638
648,50.81
649,50.427
650,50.465
651,50.464
652,50.508
653,50.453
654,50.343
655,50.49
656,50.685
657,50.518
658,50.666
659,50.529
660,50.391
661,50.525
662,50.724
663,50.415
664,50.489
665,50.485
666,50.331
667,50.306
668,50.468
669,50.521
670,50.48
671,50.52
672,50.516
673,50.428
674,50.562
675,50.734
676,50.284
677,50.321
678,50.649
679,50.496
680,50.652
681,50.398
682,50.269
683,50.351
684,50.407
685,50.478
686,50.175
687,50.378
688,50.396
689,50.464
690,50.357
691,50.31
692,50.444
693,50.391
694,50.314
695,50.354
696,50.394
697,50.474
698,50.424
699,50.368
700,50.233
701,50.406
702,50.456
703,50.488
704,50.496
705,50.37
706,50.544
707,50.393
708,50.589
709,50.489
710,50.625
711,50.582
712,50.427
