NEIGHBORS,ACCURACY
1,49.606
2,53.674
3,54.105
4,55.047
5,55.324
6,55.602
7,55.784
8,55.589
9,55.634
10,55.827
11,55.85
12,55.768
13,55.613
14,55.921
15,55.971
16,56.001
17,55.645
18,55.9
19,55.532
20,55.823
21,55.736
22,55.764
23,55.571
24,55.696
25,55.668
26,55.878
27,55.718
28,55.738
29,55.676
30,55.475
31,55.427
32,55.497
33,55.313
34,55.424
35,55.373
36,55.484
37,55.382
38,55.32
39,55.599
40,55.283
41,55.433
42,55.469
43,55.308
44,55.198
45,55.183
46,55.203
47,55.282
48,55.056
49,55.156
50,55.367
51,55.1
52,55.081
53,54.876
54,54.889
55,55.042
56,54.928
57,55.055
58,55.115
59,54.926
60,55.018
61,55.104
62,54.805
63,54.846
64,54.863
65,54.954
66,54.737
67,54.749
68,54.694
69,54.718
70,54.759
71,54.732
72,54.66
73,54.694
74,54.768
75,54.51
76,54.502
77,54.812
78,54.545
79,54.65
80,54.495
81,55.08
82,54.556
83,54.739
84,54.353
85,54.608
86,54.544
87,54.749
88,54.512
89,54.606
90,54.392
91,54.744
92,54.534
93,54.204
94,54.523
95,54.442
96,54.397
97,54.395
98,54.361
99,54.439
100,54.349
101,54.411
102,54.516
103,54.161
104,54.201
105,54.217
106,54.212
107,54.446
108,54.479
109,54.467
110,54.262
111,54.47
112,54.534
113,54.393
114,54.527
115,54.438
116,54.406
117,54.246
118,54.128
119,54.369
120,54.329
121,54.413
122,54.113
123,54.16
124,54.143
125,54.34
126,54.402
127,54.253
128,54.273
129,54.246
130,54.374
131,54.015
132,54.168
133,53.918
134,54.312
135,54.268
136,54.305
137,54.242
138,54.028
139,53.975
140,53.92
141,54.164
142,54.067
143,54.026
144,54.149
145,54.061
146,54.025
147,54.118
148,54.197
149,54.073
150,54.139
151,54.146
152,53.95
153,54.275
154,54.066
155,54.131
156,54.056
157,54.094
158,54.09
159,54.15
160,54.02
161,53.944
162,53.999
163,54.005
164,53.679
165,54.271
166,54.185
167,54.002
168,54.211
169,53.935
170,54.174
171,54.008
172,53.994
173,53.915
174,53.863
175,53.945
176,53.852
177,53.9
178,53.732
179,54.069
180,54.15
181,53.84
182,53.701
183,53.918
184,53.895
185,54.036
186,53.877
187,53.783
188,53.857
189,54.032
190,53.72
191,53.755
192,53.794
193,54.034
194,53.734
195,54.029
196,53.745
197,53.907
198,53.99
199,53.48
200,53.653
201,53.753
202,53.689
203,54.021
204,53.692
205,53.7
206,53.719
207,53.867
208,53.815
209,53.637
210,53.699
211,53.79
212,53.52
213,53.833
214,53.902
215,53.669
216,53.576
217,53.757
218,53.614
219,53.507
220,53.884
221,53.515
222,53.514
223,53.729
224,53.759
225,53.558
226,53.655
227,53.818
228,53.526
229,53.492
230,53.701
231,53.668
232,53.522
233,53.679
234,53.443
235,53.571
236,53.744
237,53.671
238,53.464
239,53.769
240,53.343
241,53.394
242,53.527
243,53.562
244,53.6
245,53.738
246,53.655
247,53.469
248,53.422
249,53.459
250,53.823
251,53.671
252,54.003
253,53.36
254,53.801
255,53.356
256,53.521
257,53.248
258,53.474
259,53.442
260,53.617
261,53.457
262,53.511
263,53.628
264,53.531
265,53.468
266,53.595
267,53.605
268,53.417
269,53.392
270,53.492
271,53.524
272,53.51
273,53.308
274,53.547
275,53.56
276,53.475
277,53.343
278,53.308
279,53.511
280,53.388
281,53.506
282,53.345
283,53.435
284,53.258
285,53.432
286,53.672
287,53.261
288,53.168
289,53.353
290,53.285
291,53.5
292,53.371
293,53.147
294,53.386
295,53.21
296,53.227
297,53.395
298,53.198
299,53.574
300,53.256
301,53.352
302,53.368
303,53.177
304,53.043
305,53.553
306,53.307
307,53.12
308,53.422
309,53.175
310,53.462
311,53.171
312,53.232
313,53.395
314,53.337
315,53.237
316,53.322
317,53.128
318,53.332
319,52.966
320,53.133
321,53.264
322,53.174
323,53.469
324,53.269
325,53.113
326,53.27
327,53.406
328,53.062
329,53.334
330,53.33
331,53.267
332,53.18
333,53.11
334,53.075
335,53.21
336,53.28
337,53.011
338,53.195
339,53.141
340,52.882
341,53.16
342,53.322
343,53.204
344,53.26
345,53.211
346,53.191
347,53.254
348,53.154
349,52.942
350,53.277
351,53.031
352,53.06
353,53.025
354,53.149
355,53.202
356,53.103
357,52.967
358,53.056
359,53.0
360,52.991
361,53.257
362,52.958
363,53.078
364,53.366
365,53.099
366,53.094
367,53.165
368,53.176
369,53.156
370,53.238
371,53.162
372,53.288
373,53.061
374,53.219
375,53.271
376,53.281
377,52.831
378,53.083
379,53.215
380,52.96
381,53.014
382,53.043
383,53.051
384,52.717
385,52.979
386,53.341
387,53.271
388,52.967
389,53.124
390,53.064
391,52.942
392,53.036
393,52.887
394,52.893
395,52.924
396,53.006
397,53.01
398,52.906
399,53.067
400,53.032
401,53.206
402,53.079
403,53.108
404,52.993
405,53.273
406,52.772
407,53.056
408,53.192
409,52.815
410,52.831
411,53.163
412,52.88
413,52.998
414,52.961
415,53.101
416,52.845
